statusCode,message,crypto_name,eVol24h,eVol30d,cVol24h,cVol30d,txCnt24h,txCnt30d,txFees24h,txFees30d,txFeesMean24h,cVolAdj24h,ret24h,retMTD,retQTD,retYTD,retY1,retY3,retY5,retSI,volat30d,low52w,high52w,splyCurr,splyTotal,splyMax,ath,ts,src,category,type,algorithm
200,OK,BTC,6298939414,,,,639336.0,15335557.0,1355648.113275,24346175.624158,2.120481,,-0.002817,0.021856,-0.130493,0.603212,0.398072,1.487813,3.003715,79.61227,0.344987,15480.0,31809.12152,19495000.0,21000000.0,21000000.0,68990.9,1695596217683.0,tb,Currency,Digital gold,PoW
200,OK,ETH,3962192234,,,,863503.0,30461812.0,1797748.710074,108737904.312396,2.081925,,-0.001912,-0.034234,-0.178078,0.33002,0.200879,3.595547,5.815162,202.639551,0.305142,1072.69,2139.72,120230003.642295,120230003.642295,,4865.572397,1695596217683.0,tb,Software platform,Global computer,PoW
200,OK,XRP,325600370,,,,1076568.0,30714665.0,1279.635514,33359.563142,0.001189,,-0.002682,-0.006354,0.071927,0.496653,0.028032,1.18305,-0.023404,-0.441268,0.335441,0.301174,0.933516,53245240268.0,99988414766.0,100000000000.0,1.96598,1695596217683.0,tb,Currency,Payments,Custom
200,OK,BCH,78232364,,,,11663.0,1472748.0,74.880332,3985.686847,0.00642,,-0.003931,-0.000333,-0.318155,1.139095,0.727916,-0.038557,-0.556091,-0.859702,0.780504,87.558106,328.298289,19513443.646651,21000000.0,21000000.0,1836.627767,1695596217683.0,tb,Currency,Internet money,PoW
200,OK,ADA,67682795,,,,44351.0,1447682.0,3723.322388,124793.395561,0.083951,,-0.004774,-0.041275,-0.146389,-0.003197,-0.462195,,,-0.795157,0.278947,0.229497,0.463031,35045020830.3234,45000000000.0,45000000000.0,3.098459,1695596217683.0,tb,Software platform,Global computer,PoS
200,OK,XLM,33520435,,,,2106494.0,67576786.0,21.069137,1574.290164,1e-05,,-0.006745,-0.01451,0.022647,0.595526,-0.047469,0.623719,,-0.284581,0.473884,0.070317,0.194801,27702609099.1994,50001787183.4673,50001787183.4673,0.797482,1695596217683.0,tb,Currency,Payments,Custom
200,OK,NEO,12135362,632814939.0,,,146967.0,4429224.0,8.1496,121.160151,5.5e-05,,-0.009002,0.037371,-0.226786,0.20517,-0.131071,-0.659237,-0.607356,-0.8599,0.446915,5.966469,15.590273,70530000.0,100000000.0,,198.38,1695596217683.0,cd,Software platform,Global computer,Custom
200,OK,LTC,173323073,,,,110189.0,3314988.0,649.753464,20063.170356,0.005897,,-0.012474,0.004918,-0.408339,-0.081906,0.178632,0.43555,0.100465,-0.605873,0.47484,47.65471,114.82,73690101.983471,84000000.0,84000000.0,413.47,1695596217683.0,tb,Currency,Digital gold,PoW
200,OK,EOS,46003256,,,,431032.0,16458111.0,,,,,-0.005129,-0.015473,-0.230818,-0.328736,-0.521545,-0.771162,,-0.796834,0.426527,0.509393,1.3397,1121617313.4232,,,14.899198,1695596217683.0,tb,Software platform,Global computer,dPoS
200,OK,XEM,5720675,76706938.0,,,414.0,8763.0,5.766231,77.09071,0.013928,,-0.003231,0.085199,-0.086567,-0.073753,-0.362269,-0.754079,-0.730094,-0.890992,0.393588,0.022197,0.061136,8999999999.0,8999999999.0,,1.87,1695596217683.0,cd,Software platform,Global computer,Custom
200,OK,IOTA,4949970,257599213.0,,,,,,,,,-0.001829,-0.039165,-0.170892,-0.102974,-0.465749,-0.395158,-0.73395,-0.912518,0.494055,0.136039,0.329287,2779530283.277761,2779530283.0,,5.25,1695596217683.0,cd,Software platform,Software platform,Custom
200,OK,DASH,14964795,607718936.0,,,8914.0,321815.0,11.224341,362.565639,0.001259,,-0.005714,0.021577,-0.289414,-0.361948,-0.364084,-0.605171,-0.862043,-0.91227,0.377806,24.114439,77.030494,11465119.782579,18920000.0,,1493.59,1695596217683.0,cd,Currency,Privacy coin,Hybrid
200,OK,XMR,34888184,1649638830.0,,,16681.0,592389.0,689.277626,30533.114596,0.041321,,0.017156,0.008577,-0.14177,-0.02119,0.016059,0.588094,0.2273,-0.072628,0.309348,115.967898,187.463425,18147820.376415,,,542.33,1695596217683.0,cd,Currency,Privacy coin,PoW
200,OK,TRX,142524382,5602130859.0,,,4829219.0,148960851.0,,,,,0.009293,0.100788,0.109484,0.548646,0.4074,2.267734,2.752327,0.414581,0.255958,0.045246,0.093465,89125126784.3479,89125137386.4952,,0.231673,1695596217683.0,cd,Software platform,Global computer,dPoS
200,OK,ICX,1594918,49634973.0,,,,,,,,,-0.012169,0.08105,-0.154893,0.256964,-0.25886,,,-0.516164,0.57025,0.138132,0.485804,967728428.209698,979836029.605243,,13.16,1695596217683.0,cd,Software platform,,
200,OK,ETC,41078357,,,,23443.0,837257.0,19.947058,816.250726,0.000851,,-0.003569,-0.020228,-0.274161,-0.03017,-0.470399,1.608495,0.361104,4.714519,0.371963,12.74,30.1263,143179900.139007,210700000.0,210700000.0,174.731846,1695596217683.0,tb,Software platform,Global computer,PoW
200,OK,QTUM,16771626,532574138.0,,,,,,,,,-0.003615,0.016919,-0.174445,0.20509,-0.232275,-0.043929,-0.436097,-0.832616,0.459188,1.765071,4.322671,104835812.5,107822406.0,,100.22,1695596217683.0,cd,Software platform,Bitcoin infrastructure,PoS
200,OK,BTG,18218437,90135286.0,,,152.0,4928.0,1.62545,27.585773,0.010694,,0.004886,-0.007637,-0.234613,0.093502,-0.396028,0.639135,-0.436721,-0.70945,0.654694,9.893996,44.059067,17513924.0,21000000.0,,456.25,1695596217683.0,cd,Currency,ASIC resistance,PoW
200,OK,VET,22611353,1046635983.0,,,,,,,,,-0.018983,0.055566,-0.149539,0.059904,-0.274635,,,-0.646908,0.531851,0.01323,0.032425,72714516834.0,85985041177.0,86712634466.0,0.280991,1695596217683.0,cd,,,
200,OK,LSK,2089030,27508061.0,,,,,,,,,-0.018269,0.0641,-0.067829,0.039863,-0.217224,-0.37096,-0.777526,-0.912132,0.42025,0.660192,1.552398,144818773.0,,,34.92,1695596217683.0,cd,Software platform,Global computer,DPoS
